,Traffic_ID,Date,Time,Area,Road_Type,Weather_Condition,Vehicle_Count,Average_Speed_kmph,Congestion_Level,Accident_Reported,Traffic_Signal_Malfunction
0,1,2025-02-24,13,Downtown,Highway,,190.0,33.4,Low,,0.0
1,2,2025-01-03,17,Downtown,Highway,Rain,169.0,,Medium,0.0,
2,3,2025-01-24,17,Downtown,Main Road,,,36.7,High,1.0,1.0
3,4,2025-02-02,10,Downtown,Bridge,Fog,,,Low,0.0,1.0
4,5,2025-02-17,2,Residential,,Storm,,54.6,Low,,1.0
5,6,2025-03-07,23,Residential,Highway,Rain,493.0,,High,1.0,0.0
6,7,2025-01-31,7,Industrial,,Fog,409.0,56.5,Medium,1.0,0.0
7,8,2025-02-02,9,Residential,,,335.0,61.1,Medium,1.0,0.0
8,9,2025-02-04,5,Residential,Highway,Rain,,,,,0.0
9,10,2025-01-13,4,Residential,Main Road,Rain,,,,0.0,1.0
10,11,2025-01-12,19,City Center,Tunnel,Clear,436.0,71.7,Medium,,0.0
11,12,2025-02-20,21,Downtown,Tunnel,Cloudy,,51.7,Low,,
12,13,2025-03-06,1,Residential,,Fog,,,Low,,
13,14,2025-01-23,11,City Center,Main Road,Storm,,70.5,Medium,0.0,1.0
14,15,2025-02-16,0,City Center,Highway,Storm,,,High,1.0,1.0
15,16,2025-01-21,13,City Center,Highway,Clear,,69.0,Medium,,0.0
16,17,2025-03-22,19,City Center,Main Road,Fog,,77.9,High,0.0,
17,18,2025-02-25,10,Residential,Tunnel,Storm,281.0,34.9,High,1.0,
18,19,2025-02-17,6,Industrial,Street,Rain,53.0,62.5,Medium,1.0,1.0
19,20,2025-03-15,8,Residential,Highway,Storm,,60.1,Medium,,
20,21,2025-02-19,4,Airport Road,Main Road,Cloudy,,31.4,,0.0,0.0
21,22,2025-02-05,1,Airport Road,,Clear,394.0,,Low,1.0,1.0
22,23,2025-01-17,5,City Center,Tunnel,Rain,266.0,36.7,Low,0.0,
23,24,2025-01-09,8,Downtown,,Storm,478.0,78.1,Medium,0.0,0.0
24,25,2025-02-11,1,Industrial,Tunnel,Clear,,,High,0.0,0.0
25,26,2025-02-06,2,,,Storm,,,Medium,1.0,
26,27,2025-03-04,18,City Center,Highway,,210.0,,Medium,1.0,
27,28,2025-01-07,20,Industrial,Highway,Storm,84.0,44.2,Low,,1.0
28,29,2025-02-05,18,,Street,Storm,,76.1,High,1.0,0.0
29,30,2025-02-03,18,Industrial,,,,39.0,Low,0.0,
30,31,2025-02-18,1,Downtown,Highway,Storm,,,Low,1.0,0.0
31,32,2025-01-25,7,Industrial,Tunnel,Storm,,56.7,High,,1.0
32,33,2025-03-22,2,Industrial,Bridge,Clear,104.0,36.3,High,1.0,
33,34,2025-02-24,2,Residential,Street,Cloudy,178.0,,High,1.0,1.0
34,35,2025-01-29,11,Industrial,,Fog,,,Low,1.0,1.0
35,36,2025-03-22,15,,Main Road,Storm,,55.0,,1.0,1.0
36,37,2025-01-27,7,Residential,Highway,Fog,157.0,,,,
37,38,2025-01-14,4,Industrial,Main Road,Rain,261.0,,,,
