Traffic_ID,Date,Time,Area,Road_Type,Weather_Condition,Vehicle_Count,Average_Speed_kmph,Congestion_Level,Accident_Reported,Traffic_Signal_Malfunction
1,2025-02-24,13:00,Downtown,Highway,,190.0,33.4,Low,,No
2,2025-01-03,17:00,Downtown,Highway,Rain,169.0,,Medium,No,
3,2025-01-24,17:00,Downtown,Main Road,,,36.7,High,Yes,Yes
4,2025-02-02,10:00,Downtown,Bridge,Fog,,,Low,No,Yes
5,2025-02-17,02:00,Residential,,Storm,,54.6,Low,,Yes
6,2025-03-07,23:00,Residential,Highway,Rain,493.0,,High,Yes,No
7,2025-01-31,07:00,Industrial,,Fog,409.0,56.5,Medium,Yes,No
8,2025-02-02,09:00,Residential,,,335.0,61.1,Medium,Yes,No
9,2025-02-04,05:00,Residential,Highway,Rain,,,,,No
10,2025-01-13,04:00,Residential,Main Road,Rain,,,,No,Yes
11,2025-01-12,19:00,City Center,Tunnel,Clear,436.0,71.7,Medium,,No
12,2025-02-20,21:00,Downtown,Tunnel,Cloudy,,51.7,Low,,
13,2025-03-06,01:00,Residential,,Fog,,,Low,,
14,2025-01-23,11:00,City Center,Main Road,Storm,,70.5,Medium,No,Yes
15,2025-02-16,00:00,City Center,Highway,Storm,,,High,Yes,Yes
16,2025-01-21,13:00,City Center,Highway,Clear,,69.0,Medium,,No
17,2025-03-22,19:00,City Center,Main Road,Fog,,77.9,High,No,
18,2025-02-25,10:00,Residential,Tunnel,Storm,281.0,34.9,High,Yes,
19,2025-02-17,06:00,Industrial,Street,Rain,53.0,62.5,Medium,Yes,Yes
20,2025-03-15,08:00,Residential,Highway,Storm,,60.1,Medium,,
21,2025-02-19,04:00,Airport Road,Main Road,Cloudy,,31.4,,No,No
22,2025-02-05,01:00,Airport Road,,Clear,394.0,,Low,Yes,Yes
23,2025-01-17,05:00,City Center,Tunnel,Rain,266.0,36.7,Low,No,
24,2025-01-09,08:00,Downtown,,Storm,478.0,78.1,Medium,No,No
25,2025-02-11,01:00,Industrial,Tunnel,Clear,,,High,No,No
26,2025-02-06,02:00,,,Storm,,,Medium,Yes,
27,2025-03-04,18:00,City Center,Highway,,210.0,,Medium,Yes,
28,2025-01-07,20:00,Industrial,Highway,Storm,84.0,44.2,Low,,Yes
29,2025-02-05,18:00,,Street,Storm,,76.1,High,Yes,No
30,2025-02-03,18:00,Industrial,,,,39.0,Low,No,
